x,y,z,yaw,velocity,change_flag
238.0369,-133.3306,0.0000,-0.0017,10.0000,0
239.0369,-133.3323,0.0000,-0.0017,10.0000,0
240.0369,-133.3340,0.0000,-0.0017,10.0000,0
241.0369,-133.3356,0.0000,-0.0017,10.0000,0
242.0369,-133.3373,0.0000,-0.0017,10.0000,0
243.0369,-133.3390,0.0000,-0.0017,10.0000,0
244.0369,-133.3407,0.0000,-0.0017,10.0000,0
245.0369,-133.3424,0.0000,-0.0017,10.0000,0
246.0369,-133.3441,0.0000,-0.0017,10.0000,0
247.0369,-133.3457,0.0000,-0.0017,10.0000,0
248.0369,-133.3474,0.0000,-0.0017,10.0000,0
249.0369,-133.3491,0.0000,-0.0017,10.0000,0
250.0369,-133.3508,0.0000,-0.0017,10.0000,0
251.0369,-133.3525,0.0000,-0.0017,10.0000,0
252.0369,-133.3541,0.0000,-0.0017,10.0000,0
253.0369,-133.3558,0.0000,-0.0017,10.0000,0
254.0369,-133.3575,0.0000,-0.0017,10.0000,0
255.0369,-133.3592,0.0000,-0.0017,10.0000,0
256.0369,-133.3609,0.0000,-0.0017,10.0000,0
257.0369,-133.3625,0.0000,-0.0017,10.0000,0
258.0369,-133.3642,0.0000,-0.0017,10.0000,0
259.0369,-133.3659,0.0000,-0.0017,10.0000,0
260.0369,-133.3676,0.0000,-0.0017,10.0000,0
261.0369,-133.3693,0.0000,-0.0017,10.0000,0
262.0369,-133.3710,0.0000,-0.0017,10.0000,0
263.0369,-133.3726,0.0000,-0.0017,10.0000,0
264.0369,-133.3743,0.0000,-0.0017,10.0000,0
265.0369,-133.3760,0.0000,-0.0017,10.0000,0
266.0369,-133.3777,0.0000,-0.0017,10.0000,0
267.0369,-133.3794,0.0000,-0.0017,10.0000,0
268.0369,-133.3810,0.0000,-0.0017,10.0000,0
269.0369,-133.3827,0.0000,-0.0017,10.0000,0
270.0369,-133.3844,0.0000,-0.0017,10.0000,0
271.0369,-133.3861,0.0000,-0.0017,10.0000,0
272.0369,-133.3878,0.0000,-0.0017,10.0000,0
273.0369,-133.3894,0.0000,-0.0017,10.0000,0
274.0369,-133.3911,0.0000,-0.0017,10.0000,0
275.0369,-133.3928,0.0000,-0.0017,10.0000,0
276.0369,-133.3945,0.0000,-0.0017,10.0000,0
